id_fabricante;cnpj_fabricante;fabricante
Fab00167;97215388000180;LEONARDI COMERCIO DE PRODUTOS PARA SAUDE LTDA - EPP
Fab00168;49475833001250;BIOLAB SANUS FARMACEUTICA LTDA
Fab00169;06076833000112;ABL - SAUDE LTDA
Fab00170;61595732000166;INVESTMAR DE INTERCAMBIO COMERCIAL LTDA
Fab00171;28531958000128;MAYCON ROBERT NIEDHARDT
Fab00172;05823205000190;MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS LTDA
Fab00173;10692852000140;DESCARBOX EMBALAGENS LTDA. - ME
Fab00174;22291182000130;VITAMED COMÉRCIO E DISTRIBUIDORA DE MEDICAMENTOS EIRELI
Fab00175;27401513000160;DEVANT CARE COMERCIAL LTDA
Fab00176;00257992000137;ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S/A
Fab00177;28753796000172;ISOFAR INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA
Fab00178;02039112000181;MICRODONT MICRO USINAGEM DE PRECISAO LTDA
Fab00179;84833888000133;BIODINAMICA QUIMICA E FARMACEUTICA LTDA - EPP
Fab00180;45985371000108;3M DO BRASIL LTDA
Fab00181;31116239000155;DENTSPLY INDUSTRIA E COMERCIO LIMITADA
Fab00182;23643315011510;DANONE LTDA
Fab00183;60409075002953;NESTLE BRASIL LTDA.
Fab00184;48708010000374;KULZER SOUTH AMERICA LTDA.
Fab00185;06173145000170;DIAMANTEC PRODUTOS ODONTOLOGICOS LTDA
Fab00186;74017708000272;INDUSBELLO IND. E COM. DE PRODUTOS MEDICOS E ODONTOLOGICOS LTDA
Fab00187;03237990000174;KELLDRIN INDUSTRIAL LTDA
Fab00188;80330046000108;PROGRAD COMERCIAL MEDICA LTDA
Fab00189;02120411000146;HIGIE-TOPP INDUSTRIA E COMERCIO DE PRODUTOS HIGIENICOS E TEXTEIS L
Fab00190;43179225000160;TRANSMAI EQUIPAMENTOS MEDICOS HOSPITALARES LTDA - EPP
Fab00191;49604226000190;MULTIGEL INDUSTRIA E COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS
Fab00192;60874187000184;DAIICHI SANKYO BRASIL FARMACEUTICA LTDA.
Fab00193;05343029000190;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LT
Fab00194;07295190000160;DBI COMERCIO E IMPORTACAO EIRELI - ME
Fab00195;61190096000435;EUROFARMA LABORATÓRIOS LTDA
Fab00196;49351786000423;BAXTER HOSPITALAR LTDA
Fab00197;61186136000122;VALEANT FARMACEUTICA DO BRASIL LTDA
Fab00198;83874628000143;LABORATORIO FARMACEUTICO ELOFAR LIMITADA
Fab00199;61082426001289;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
Fab00200;21561931000139;LABORATÓRIO SANOBIOL LTDA
Fab00201;17562075000169;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
Fab00202;33173097000274;CELLERA FARMACEUTICA S.A.
Fab00203;15058160000169;NUTRIEX INDUSTRIA DE COSMETICOS LTDA
Fab00204;49475833001412;BIOLAB SANUS FARMACEUTICA LTDA
Fab00205;09426522000124;FARMAX PRODUTOS FARMACEUTICOS LTDA
Fab00206;59476770000158;PROCTER & GAMBLE DO BRASIL S.A.
Fab00207;03449625000123;MAXCLEAN COMERCIO SERVICOS IMPORTACAO E EXPORTACAO LTDA
Fab00208;07179031000109;CAHE PRODUTOS DESCARTAVEIS LTDA - ME
Fab00209;12472927000103;QUALYBLESS DO BRASIL LTDA
Fab00210;72899016000512;ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA
Fab00211;19972628000187;FACILIMPE COMERCIO DE PRODUTOS DE LIMPEZA EM GERAL LTDA.
Fab00212;05216859000156;BIOBASE INDUSTRIA E COMERCIO LTDA
Fab00213;62462015000129;APSEN FARMACÊUTICA S/A
Fab00214;02290277000121;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE
Fab00215;25186120000156;ONTEX BRASIL HOLDING LTDA.
Fab00216;09603161000144;BMD - COMERCIO DE PRODUTOS MEDICOS LTDA.
Fab00217;74232034000148;LABORATORIOS FERRING LTDA
Fab00218;05431736000138;ASTRA CIENTIFICA LTDA - ME
Fab00219;74215013000114;OFT-VISION INDUSTRIA E COMERCIO LTDA
Fab00220;10588595000100;Medley Farmacêutica Ltda.
Fab00221;10249145000184;INALAMED EQUIPAMENTOS E MATERIAIS HOSPITALARES LTDA - ME
Fab00222;19338456000194;ALFRS INDUSTRIA DE MOVEIS LTDA
Fab00223;08183359000153;PRODIET NUTRICAO CLINICA LTDA
Fab00224;18774815000193;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
Fab00225;23478737000110;INALAMED HOSPITALAR EIRELI
Fab00226;60665981000207;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
Fab00227;33150764000112;BIOLAB FARMA GENERICOS LTDA
Fab00228;10844648000289;ONE FARMA MEDICAMENTOS LTDA
Fab00229;58635830000175;FARMARIN INDUSTRIA E COMERCIO LTDA
Fab00230;05161069000544;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.
Fab00231;39032974000192;VIC PHARMA INDÚSTRIA E COMÉRCIO LTDA
Fab00232;56998701003212;ABBOTT LABORATORIOS DO BRASIL LTDA
Fab00233;46568655000161;LAMEDID COMERCIAL E SERVIÇOS LTDA
Fab00234;60084456000109;LATINOFARMA INDUSTRIAS FARMACEUTICAS LTDA
Fab00235;48344725000719;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
Fab00236;55643555000143;INDUSTRIA FARMACEUTICA RIOQUIMICA LTDA
Fab00237;04798379000188;ASFER INDUSTRIA QUIMICA LTDA
Fab00238;60879848000164;LABORATORIO TAYUYNA LTDA
