id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00097;10257028000162;FUNDO MUNICIPAL DE SAUDE;TAILANDIA;PA
Ins00098;11472134000121;FUNDO MUNICIPAL DE SAUDE DE FEIRA NOVA;FEIRA NOVA;PE
Ins00099;76020452000105;MUNICIPIO DA LAPA;LAPA;PR
Ins00100;12447227000169;FUNDO MUNICIPAL DE SAUDE DE SANTA TEREZINHA;SANTA TERESINHA;PB
Ins00101;09485333000122;FUNDO MUNICIPAL DE SAUDE;IRATI;PR
Ins00102;17453467000190;FUNDO MUNICIPAL DE SAUDE DE CONCEICAO DO ARAGUAIA;CONCEICAO DO ARAGUAIA;PA
Ins00103;09148131000195;MUNICIPIO DE MANAIRA;MANAIRA;PB
Ins00104;09494245000197;FUNDO MUNICIPAL DE SAUDE;UMBUZEIRO;PB
Ins00105;04034583000637;MUNICIPIO DE RIO BRANCO;RIO BRANCO;AC
Ins00106;08247860000136;FUNDO MUNICIPAL DE SAUDE;CATENDE;PE
Ins00107;10381732000122;FUNDO MUNICIPAL DE SAUDE;SONORA;MS
Ins00108;08542693000156;FUNDO MUNICIPAL DE SAUDE;LOBATO;PR
Ins00109;17744434000107;MUNICIPIO DE RIO POMBA;RIO POMBA;MG
Ins00110;18538208000124;CONSORCIO INTERMUNICIPAL DO SUL DO ESTADO DE ALAGOAS - CONISUL;PENEDO;AL
Ins00111;09158413000173;FUNDO MUNICIPAL DE SAUDE DE REALEZA;REALEZA;PR
Ins00112;13601247000105;FUNDO MUNICIPAL DE SAUDE;IRAI DE MINAS;MG
Ins00113;11406652000147;FUNDO MUNICIPAL DE SAUDE DE CUMARU DO NORTE;CUMARU DO NORTE;PA
Ins00114;46523122000163;MUNICIPIO DE TABOAO DA SERRA;TABOAO DA SERRA;SP
Ins00115;10417698000107;FUNDO MUNICIPAL DE SAUDE DE ITAMBE;ITAMBE;PE
Ins00116;27744176000104;MUNICIPIO DE MARILANDIA;MARILANDIA;ES
Ins00117;46410866000171;MUNICIPIO DE JAGUARIUNA;JAGUARIUNA;SP
Ins00118;11176515000163;FUNDO MUNICIPAL DE SAUDE;CASTANHEIRAS;RO
Ins00119;08541779000164;FUNDO MUNICIPAL DE SAUDE;SANTA FE;PR
Ins00120;10541009000163;FUNDO MUNICIPAL DE SAUDE DE CACIMBAS;CACIMBAS;PB
Ins00121;19110162000100;FUNDACAO HOSPITALAR DO MUNICIPIO DE VARGINHA FHOMUV;VARGINHA;MG
Ins00122;11153600000106;FUNDO MUNICIPAL DE SAUDE;BOQUEIRAO;PB
Ins00123;01266058000144;MUNICIPIO DE BURITIS;BURITIS;RO
Ins00124;25053117000164;TOCANTINS SECRETARIA DE ESTADO DE SAUDE;PALMAS;TO
Ins00125;30372673000133;AUTARQUIA MUNICIPAL DE SAUDE DE PAICANDU;PAICANDU;PR
Ins00126;04223191000101;FUNDO MUN.DE SAUDE DE SAO MAMEDE-PB;SAO MAMEDE;PB
Ins00127;02930318000105;MUNICIPIO DE SEBASTIAO LEAL - SECRETARIA DE SAUDE;SEBASTIAO LEAL;PI
Ins00128;07615929000174;FUNDO MUNICIPAL DE SAUDE;ITABAIANA;PB
Ins00129;11393101000196;FUNDO MUNICIPAL DE SAUDE;GLORIA DO GOITA;PE
Ins00130;14051123000166;FUNDO MUNICIPAL DE SAUDE;ANCHIETA;ES
Ins00131;11160486000141;FUNDO MUNICIPAL DE SAUDE;PORTO MURTINHO;MS
Ins00132;55356653000108;MUNICIPIO DE PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP
Ins00133;09262602000191;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE SARANDI;SARANDI;PR
Ins00134;11855813000180;FUNDO MUNICIPAL DE SAUDE;SAO MIGUEL DO FIDALGO;PI
Ins00135;06554075000109;MUNICIPIO DE FRANCISCO AYRES;FRANCISCO AYRES;PI
Ins00136;15626810000125;FUNDO MUNICIPAL DE SAUDE - FMS;JERONIMO MONTEIRO;ES
Ins00137;47842836000105;MUNICIPIO DE FERNANDOPOLIS;FERNANDOPOLIS;SP
Ins00138;44531788000138;MUNICIPIO DE LINS;LINS;SP
Ins00139;04279238000159;MUNICIPIO DE JARU;JARU;RO
Ins00140;00843130000196;MUNICIPIO DE OEIRAS - SECRETARIA DE SAUDE;OEIRAS;PI
Ins00141;75352062000161;MUNICIPIO DE MUNHOZ DE MELLO;MUNHOZ DE MELO;PR
Ins00142;76975259000110;MUNICIPIO DE SAO PEDRO DO PARANA;SAO PEDRO DO PARANA;PR
Ins00143;18241380000111;MUNICIPIO DE ITAMOGI;ITAMOGI;MG
Ins00144;87849923000109;MUNICIPIO DE BENTO GONCALVES;BENTO GONCALVES;RS
Ins00145;10601116000130;FUNDO MUNICIPAL DE SAUDE;CARLOPOLIS;PR
Ins00146;11870137000113;FUNDO MUNICIPAL DE SAUDE DE CAMOCIM DE SAO FELIX;CAMOCIM DE SAO FELIX;PE
Ins00147;10785644000196;FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DE CAIANA;SAO JOSE DE CAIANA;PB
Ins00148;84782697000190;FUNDO MUNICIPAL DE SAUDE;MAMBORE;PR
Ins00149;46634291000170;MUNICIPIO DE ITAPETININGA;ITAPETININGA;SP
Ins00150;80257355000108;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PONTA GROSSA;PR
Ins00151;75731000000160;MUNICIPIO DE FLORAI;FLORAI;PR
Ins00152;78092293000171;MUNICIPIO DE SANTA INES;SANTA INES;PR
Ins00153;12552597000166;FUNDO MUNICIPAL DE SAUDE - FMS;BOQUEIRAO DO PIAUI;PI
Ins00154;76404136000129;MUNICIPIO DE MARILUZ;MARILUZ;PR
